0;51203;42246
1;43798;38211
2;42328;42239
3;27213;38416
4;59791;15157
5;56737;52510
6;9352;27120
7;33641;24193
8;9497;23095
9;28231;12686
10;22281;12164
11;25795;10201
12;56709;13528
13;17924;10597
14;41199;1545
15;34784;37187
16;19640;41325
17;52646;50524
18;9243;57586
19;45175;12309
20;34992;4740
21;51149;14832
22;56647;2930
23;;10602
24;48260;19316
25;28072;49481
26;56843;46023
27;20208;44678
28;11064;26134
29;47568;58575
30;1023;20021
31;39739;42672
32;25223;20754
33;7043;46056
34;49671;38655
35;25146;53695
36;14108;14703
37;24988;3433
38;36421;42613
39;26552;35044
40;49955;42668
41;56320;43274
42;2467;4786
43;30179;45681
44;55040;25645
45;34576;56556
46;10771;56316
47;28336;6656
48;49004;56607
49;16471;2829
50;28274;44344
51;7544;16087
52;2558;25363
53;13105;6590
54;40722;30530
55;25687;50720
56;26401;55813
57;37558;4463
58;3571;1673
59;29455;31879
60;46847;39346
61;36346;57627
62;54496;42646
63;43023;19517
64;40253;9652
65;21557;20693
66;39017;12505
67;30622;37736
68;36901;27600
69;25903;49212
70;57016;15200
71;39149;33671
72;5835;28335
73;33656;27438
74;37400;50038
75;46686;32078
76;52673;12878
77;39940;49549
78;2984;9976
79;3878;1678
80;3339;56376
81;12835;28625
82;21288;23338
83;7715;19778
84;49767;4661
85;25008;3071
86;14266;21824
87;55610;5961
88;56848;54747
89;42147;24754
90;53207;32294
91;59435;25901
92;8483;3908
93;23741;35022
94;16366;19645
95;21950;3478
96;35187;29940
97;16943;57565
98;2022;43615
99;46869;9028
100;15743;17436
101;33210;42268
102;21108;6022
103;8578;6164
104;3405;28003
105;7075;47354
106;47900;26460
107;3109;9505
108;58154;24712
109;53208;33055
110;2785;22507
111;45192;31990
112;29870;27346
113;44949;10946
114;41018;28755
115;10783;58426
116;12200;2586
117;49718;27607
118;45884;60005
119;14275;47064
120;50621;11964
121;32765;13642
122;3955;57190
123;28903;45333
124;6424;49351
125;59963;11159
126;11680;28246
127;30270;47212
128;20158;59229
129;57050;11784
130;39891;47087
131;6568;1916
132;3803;16592
133;19637;39667
134;48300;52393
135;54949;44572
136;58350;20443
137;18570;28663
138;8643;1041
139;53248;56681
140;37045;18806
141;11464;24190
142;32668;47390
143;36845;42311
144;18600;7158
145;11589;38021
146;56829;17948
147;15842;29720
148;32235;26018
149;27279;19347
150;41136;41724
151;21665;40069
152;34149;28264
153;34053;46767
154;41369;16991
155;24640;13145
156;1838;39211
157;17797;45002
158;18256;57743
159;49065;2435
160;29039;51984
161;41239;57350
162;59439;25292
163;34358;53348
164;6640;22706
165;48358;41322
166;21021;20735
167;35743;52592
168;16802;41963
169;57513;47419
170;21662;57100
171;10451;26637
172;18176;16766
173;25262;38563
174;15309;20576
175;7207;41691
176;38093;42848
177;19965;28100
178;44362;13933
179;55803;5630
180;50137;5767
181;48070;2819
182;56482;31326
183;24425;14534
184;11730;38784
